CANONICAL_ID,VIEWPORT,REFERENCE_FILE,IMPLEMENTATION_FILE,SIDE_BY_SIDE_FILE,DIFF_FILE,REFERENCE_SHA256_16,IMPLEMENTATION_SHA256_16,DRIVE_FILE_ID,DRIVE_FOLDER,READBACK_STATUS
1g,mobile,references/1g__mobile__reference.png,implementations/1g__mobile__implementation.png,side-by-side/1g__mobile__side-by-side.png,diff/1g__mobile__diff.png,3e618bdb337d4516,3c27bfc9c8474987,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1g,tablet-portrait,references/1g__tablet-portrait__reference.png,implementations/1g__tablet-portrait__implementation.png,side-by-side/1g__tablet-portrait__side-by-side.png,diff/1g__tablet-portrait__diff.png,021046e3a5121b48,4ba66df1798e3ff0,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1g,tablet-landscape,references/1g__tablet-landscape__reference.png,implementations/1g__tablet-landscape__implementation.png,side-by-side/1g__tablet-landscape__side-by-side.png,diff/1g__tablet-landscape__diff.png,18c5ee0016b97a63,896df18ab48e06c4,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1h,mobile,references/1h__mobile__reference.png,implementations/1h__mobile__implementation.png,side-by-side/1h__mobile__side-by-side.png,diff/1h__mobile__diff.png,7fe4217700ce2456,176c94e3e8ae8f93,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1h,tablet-portrait,references/1h__tablet-portrait__reference.png,implementations/1h__tablet-portrait__implementation.png,side-by-side/1h__tablet-portrait__side-by-side.png,diff/1h__tablet-portrait__diff.png,0d224fb0fee2eec6,a12765d731a99049,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1h,tablet-landscape,references/1h__tablet-landscape__reference.png,implementations/1h__tablet-landscape__implementation.png,side-by-side/1h__tablet-landscape__side-by-side.png,diff/1h__tablet-landscape__diff.png,b734e2a0b373c7d9,fa7e01937ff6eebb,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1i,mobile,references/1i__mobile__reference.png,implementations/1i__mobile__implementation.png,side-by-side/1i__mobile__side-by-side.png,diff/1i__mobile__diff.png,a95b73a46252caa5,fe14454988771ab6,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1i,tablet-portrait,references/1i__tablet-portrait__reference.png,implementations/1i__tablet-portrait__implementation.png,side-by-side/1i__tablet-portrait__side-by-side.png,diff/1i__tablet-portrait__diff.png,0d28a2c8bdb19125,8500565eb8b9152e,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1i,tablet-landscape,references/1i__tablet-landscape__reference.png,implementations/1i__tablet-landscape__implementation.png,side-by-side/1i__tablet-landscape__side-by-side.png,diff/1i__tablet-landscape__diff.png,1b134db6485ae13f,6b3f86ef340bb713,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j,mobile,references/1j__mobile__reference.png,implementations/1j__mobile__implementation.png,side-by-side/1j__mobile__side-by-side.png,diff/1j__mobile__diff.png,88b9733e8b589408,b76f42e436b447b2,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j,tablet-portrait,references/1j__tablet-portrait__reference.png,implementations/1j__tablet-portrait__implementation.png,side-by-side/1j__tablet-portrait__side-by-side.png,diff/1j__tablet-portrait__diff.png,c2eaab7a08cdd7ad,1686cf68c55f562a,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j,tablet-landscape,references/1j__tablet-landscape__reference.png,implementations/1j__tablet-landscape__implementation.png,side-by-side/1j__tablet-landscape__side-by-side.png,diff/1j__tablet-landscape__diff.png,fb28665f68013a9d,769b915772d4892f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j-1,mobile,references/1j-1__mobile__reference.png,implementations/1j-1__mobile__implementation.png,side-by-side/1j-1__mobile__side-by-side.png,diff/1j-1__mobile__diff.png,ceba56536298fbf1,e4aced8de3234d75,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j-1,tablet-portrait,references/1j-1__tablet-portrait__reference.png,implementations/1j-1__tablet-portrait__implementation.png,side-by-side/1j-1__tablet-portrait__side-by-side.png,diff/1j-1__tablet-portrait__diff.png,15af6219ebc5969a,fe2db4167b7b00ef,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1j-1,tablet-landscape,references/1j-1__tablet-landscape__reference.png,implementations/1j-1__tablet-landscape__implementation.png,side-by-side/1j-1__tablet-landscape__side-by-side.png,diff/1j-1__tablet-landscape__diff.png,2751b46c18547835,f6ef6dd5a0c96b1c,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1k,mobile,references/1k__mobile__reference.png,implementations/1k__mobile__implementation.png,side-by-side/1k__mobile__side-by-side.png,diff/1k__mobile__diff.png,dc4f4b1a66913b91,4ae13811a8912654,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
1k,tablet-portrait,references/1k__tablet-portrait__reference.png,implementations/1k__tablet-portrait__implementation.png,side-by-side/1k__tablet-portrait__side-by-side.png,diff/1k__tablet-portrait__diff.png,784ca7052a7183e8,ad76741f33edb59f,NOT_UPLOADED,NOT_UPLOADED,NOT_PERFORMED
